"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Brenda_Ann_Kenneally","Brenda Ann Kenneally",1959
"http://dbpedia.org/resource/Carolyn_Cole","Carolyn Cole",1961
"http://dbpedia.org/resource/Kenneth_Jarecke","Kenneth Jarecke",1963
"http://dbpedia.org/resource/Cork_Graham","Cork Graham",1964
"http://dbpedia.org/resource/Cynthia_Elbaum","Cynthia Elbaum",1966
"http://dbpedia.org/resource/Lauren_Greenfield","Lauren Greenfield",1966
"http://dbpedia.org/resource/Mary_Chind-Willie","Mary Chind-Willie",1967
"http://dbpedia.org/resource/Manuel_Rivera-Ortiz","Manuel Rivera-Ortiz",1968
"http://dbpedia.org/resource/Cheryl_Diaz_Meyer","Cheryl Diaz Meyer",1968
"http://dbpedia.org/resource/Jeff_Antebi","Jeff Antebi",1970
"http://dbpedia.org/resource/Chris_Hondros","Chris Hondros",1970
"http://dbpedia.org/resource/James_Foley_(journalist)","James Foley (journalist)",1973
"http://dbpedia.org/resource/Damon_Winter","Damon Winter",1974
"http://dbpedia.org/resource/Matthew_Knisely","Matthew Knisely",1974
"http://dbpedia.org/resource/Aaron_Huey","Aaron Huey",1975
"http://dbpedia.org/resource/Evan_Vucci","Evan Vucci",1977
"http://dbpedia.org/resource/Tara_Haelle","Tara Haelle",1978
"http://dbpedia.org/resource/Sima_Diab","Sima Diab",1979
